,precision,recall,f1-score,support
pessoa,0.986322188449848,0.9848254931714719,0.9855732725892179,659.0
capacete,0.8793103448275862,0.8736616702355461,0.8764769065520945,467.0
luvas,0.9272237196765498,0.9635854341736695,0.9450549450549451,357.0
colete,0.9830246913580247,0.9875968992248062,0.985305491105955,645.0
mascara,0.8642857142857143,0.8810679611650486,0.8725961538461539,412.0
micro avg,0.9375244045294807,0.9452755905511812,0.9413840423446383,2540.0
macro avg,0.9280333317195446,0.9381474915941084,0.9330013538296733,2540.0
weighted avg,0.9377085674642132,0.9452755905511812,0.9414266828853127,2540.0
samples avg,0.8241181657848324,0.8172398589065256,0.8143067103384566,2540.0
